artist_id,artist_name
1Cmtis0NcKGTvAnovenEJl,Dame Area
33yje3hgpNfdXpqdJQcrt9,Mannequin Pussy
1aDpQ3bo57IlYWmsG5sdlp,Melt-Banana
4aRuyN2moR9xvYmIzUHiR1,Dancer
4tK6Z8fK7Sc9133byjPGIT,MJ Lenderman
5HViQsHNdOovxKa420CPGR,Friko
7ELgaDINZw50qnlbK7iPhG,Thirdface
4UXJsSlnKd7ltsrHebV79Q,Nick Cave & The Bad Seeds
25uiPmTg16RbhZWAqwLBy5,Charli xcx
5KTykbPcDB4GYS49jcHbWh,Jessica Pratt
2h5syT5XdsQgKLq8Yn1klO,Nala Sinephro
5IWCU0V9evBlW4gIeGY4zF,Waxahatchee
4Sw0SFu1fFdYXdAEVdrqnO,Mount Eerie
2xvtxDNInKDV4AvGmjw6d1,Bladee
3D0fPWwGl1B3s2zZR1lzKk,Yung Sherman
67lytN32YpUxiSeWlKfHJ3,Yung Lean
5NV1oaGE9tOgbcwJVUfa8j,Whitearmor
5he5w2lnU9x7JFhnwcekXX,Skrillex
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
7GlBOeep6PqTfFi59PTUUN,Chappell Roan
1zvVxcYQEbn9D1tMG7960a,Still House Plants
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter
163tK9Wjr9P9DmM0AVK7lm,Lorde
2rLGlNI6htigNxx172qxLu,Jane Remover
65Msz2E34NUtbjEbsrsJlJ,Geordie Greep
3qOGTt4eTeEkCn3efhAGu2,Nick León
7zNkqI6qRr0OJ4XO1Pw29g,Nourished by Time
7bu3H8JO7d0UbMoVzbo70s,The Cure
2R0CFyeMDiRbfkhkIMbyl1,Cash Cobain
0ShmUyGC785pMDaRdP5Sap,Bay Swag
3SozjO3Lat463tQICI9LcE,Tyla
3SXwqSqAoBz9WCI9PDQzY6,Fontaines D.C.
687cZJR45JO7jhk1LHIbgq,Tems
2Au9zIICTEr0oeV1iQrJ6X,HiTech
6nB0iY1cjSY1KyhYyuIIKH,FKA twigs
44z1nVVXZE8d4njcQmQLWc,Objekt
4aKWmkWAKviFlyvHYPTNQY,Adrianne Lenker
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish
6Lt6KFXX3P0v6vfrynQAMo,Beth Gibbons
4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver
29LOCR81IrdEJjCAeCEOU3,Mica Levi
23xFbA9rYgRX8mreqysWPc,BossMan Dlow
0NIIxcxNHmOoyBx03SfTCD,Tinashe
3VNzWLePg9jTvQ2ximYOzW,julie
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello
4PooHx6BstbetDtBMrLyV7,Hurricane Wisdom
4Ge8xMJNwt6EEXOzVXju9a,Caroline Polachek
2qoQgPAilErOKCwE2Y8wOG,GloRilla
2RqrWplViWHSGLzlhmDcbt,Yaeji
5QuBVnBPEzwYvFrgBbwpmU,Empress Of
48dgx7iGqLQ3E5KO3pzd94,Mdou Moctar
1Wxx3yxd6gZsNiAF1OwLk0,Olof Dreijer
