track_id,artist_id
4UqugYFwfUBZFxScocKWLJ,4Gtzh7weljnb1F9pjB1ZKf
7vpFFPzGV5ly6Etk2NrIeo,3OjHheO3tGN2W2crotl1wm
2HxXGbzuukvNQDYEDMV22u,3OjHheO3tGN2W2crotl1wm
4RMskwBIRim7x00fbbiUhq,3OjHheO3tGN2W2crotl1wm
2eJ8U9CrCAsCBZqRvrqxWb,3OjHheO3tGN2W2crotl1wm
2r9x1BL3pXj4QVB8UWmZ8S,3OjHheO3tGN2W2crotl1wm
6iGcvwX4Do0VkYXibcqpcY,3OjHheO3tGN2W2crotl1wm
4v9EkkIbSfkZcPEpltKqnT,3OjHheO3tGN2W2crotl1wm
4v9EkkIbSfkZcPEpltKqnT,4Gtzh7weljnb1F9pjB1ZKf
4JUSJdiHG46EBTvDw3tfVV,3OjHheO3tGN2W2crotl1wm
1SBOxKzO7BepxapwYn8kmV,0TY3Wab2Z1kmp5jZoxdPjZ
1SBOxKzO7BepxapwYn8kmV,3cDwTYciDzlk8vf9HHHgS6
1SBOxKzO7BepxapwYn8kmV,1FbNRjYXMW1sZGjlxaOO9u
1SBOxKzO7BepxapwYn8kmV,28tk1PiLYWjkVr0fxlleKP
1SBOxKzO7BepxapwYn8kmV,7ikaWAiot7KxyQQx8LICbt
1SBOxKzO7BepxapwYn8kmV,06P96M68wB5ZW82bUJIt1T
7g6I9hjJEW3rKcDgU1oteg,0TY3Wab2Z1kmp5jZoxdPjZ
7g6I9hjJEW3rKcDgU1oteg,06P96M68wB5ZW82bUJIt1T
7g6I9hjJEW3rKcDgU1oteg,3cDwTYciDzlk8vf9HHHgS6
7g6I9hjJEW3rKcDgU1oteg,7ikaWAiot7KxyQQx8LICbt
7g6I9hjJEW3rKcDgU1oteg,1FbNRjYXMW1sZGjlxaOO9u
7g6I9hjJEW3rKcDgU1oteg,28tk1PiLYWjkVr0fxlleKP
73gLcSCdyc9136rkhM52bq,0TY3Wab2Z1kmp5jZoxdPjZ
73gLcSCdyc9136rkhM52bq,06P96M68wB5ZW82bUJIt1T
73gLcSCdyc9136rkhM52bq,1FbNRjYXMW1sZGjlxaOO9u
73gLcSCdyc9136rkhM52bq,3cDwTYciDzlk8vf9HHHgS6
73gLcSCdyc9136rkhM52bq,28tk1PiLYWjkVr0fxlleKP
5HR3u0Vo20Yrko1cZbTfwk,0TY3Wab2Z1kmp5jZoxdPjZ
5HR3u0Vo20Yrko1cZbTfwk,1FbNRjYXMW1sZGjlxaOO9u
5HR3u0Vo20Yrko1cZbTfwk,7ikaWAiot7KxyQQx8LICbt
5HR3u0Vo20Yrko1cZbTfwk,3cDwTYciDzlk8vf9HHHgS6
5HR3u0Vo20Yrko1cZbTfwk,06P96M68wB5ZW82bUJIt1T
7iXChCGVr13hxxjFd8XmFm,0TY3Wab2Z1kmp5jZoxdPjZ
7iXChCGVr13hxxjFd8XmFm,7ikaWAiot7KxyQQx8LICbt
7iXChCGVr13hxxjFd8XmFm,7GES5s5Ff7sm44TwWzlCpF
7iXChCGVr13hxxjFd8XmFm,3cDwTYciDzlk8vf9HHHgS6
3E51NwkuX6QEKlmQL9Y2Hu,0TY3Wab2Z1kmp5jZoxdPjZ
3E51NwkuX6QEKlmQL9Y2Hu,1FbNRjYXMW1sZGjlxaOO9u
3E51NwkuX6QEKlmQL9Y2Hu,3cDwTYciDzlk8vf9HHHgS6
3E51NwkuX6QEKlmQL9Y2Hu,28tk1PiLYWjkVr0fxlleKP
3E51NwkuX6QEKlmQL9Y2Hu,7ikaWAiot7KxyQQx8LICbt
3E51NwkuX6QEKlmQL9Y2Hu,06P96M68wB5ZW82bUJIt1T
6zF0upolmiaThxNs8tnb6n,0TY3Wab2Z1kmp5jZoxdPjZ
6zF0upolmiaThxNs8tnb6n,04gIf2ntjvCBuhkFrkeiqH
6zF0upolmiaThxNs8tnb6n,7ikaWAiot7KxyQQx8LICbt
6zF0upolmiaThxNs8tnb6n,1FbNRjYXMW1sZGjlxaOO9u
6zF0upolmiaThxNs8tnb6n,3cDwTYciDzlk8vf9HHHgS6
6zF0upolmiaThxNs8tnb6n,28tk1PiLYWjkVr0fxlleKP
6zF0upolmiaThxNs8tnb6n,06P96M68wB5ZW82bUJIt1T
4h4kvQ00knFH2BrTITdEv4,5PRPy7MZZhkM5CIVJvTAKM
4h4kvQ00knFH2BrTITdEv4,4sb7rZNN93BSS6Gqgepo4v
4h4kvQ00knFH2BrTITdEv4,2QLM9IFaHBtB16b8ZDaA3A
